No,Site,Lat,Lon,Lat_GP,SST_mean,SST_sd,SST_max,SST_min,PAR_mean,PAR_sd,PAR_max,PAR_min,chla_mean,chla_sd,chla_max,chla_min,kd490_mean,kd490_sd,kd490_max,kd490_min
1,Indonesia_Manado_Bunaken Is. West point,1.62334,124.73323,low,29.09583333,0.401029924,29.99,28.3,43.41234478,5.396202872,54.712,35.55887,0.277467211,0.067434374,0.47058856,0.16239163,0.044433846,0.007603367,0.0588,0.0284
2,Indonesia_Manado_Meras village point,1.54403,124.8215,low,29.01888889,0.382576064,29.89,28.28,43.28136389,8.731982707,56.777332,18.762999,0.255677171,0.121576217,0.7211573,0.12234572,0.042405882,0.010113696,0.0594,0.0228
3,Malaysia_Tioman_Tioman,2.81666,104.13333,low,28.79611111,0.870225842,30.32,26.83,41.86165942,5.842017358,50.319088,28.144,0.392038834,0.127635707,0.68387175,0.20178653,0.066135407,0.017841007,0.1088,0.045055
4,Indonesia_Karimujawa_Genting school point,-5.85665,110.61191,low,29.01361111,0.644671136,30.04,27.64,43.58106928,6.46935144,56.034,32.219612,0.514294623,0.124338285,0.76087534,0.33829108,0.049658875,0.012698699,0.0708,0.0273
5,Indonesia_Karimujawa_Genting Captain's house point,-5.84308,110.61272,low,29.01277778,0.648464609,30.05,27.65,43.58106928,6.46935144,56.034,32.219612,0.411185505,0.082015171,0.5245353,0.26757076,0.049658875,0.012698699,0.0708,0.0273
6,"Philippines_Dumaguete_Cangmating MPA, Sibulan",9.35528,123.29971,low,28.43138889,0.780816982,29.69,26.72,43.25380708,6.063259815,57.32155,30.998886,0.196926528,0.073031511,0.33652845,0.09247304,0.042532103,0.007855954,0.057257,0.0298
7,"Philippines_Dumaguete_Agan-an MPA, Siblan",9.33895,123.3116,low,28.42055556,0.784175434,29.63,26.73,43.25380708,6.063259815,57.32155,30.998886,0.228171631,0.099463852,0.3879849,0.08613739,0.042532103,0.007855954,0.057257,0.0298
8,Japan_Okinawa_Yomitan2,26.39496,127.71503,high,24.77638889,2.894470741,29.63,20.84,32.91701733,10.32390183,53.43,16.57739,0.351054345,0.088906538,0.57356465,0.19542196,0.060478821,0.028908318,0.19,0.0363
9,Japan_Okinawa_Yomitan3,26.43703,127.70498,high,24.75138889,2.908656197,29.63,20.79,33.81521419,11.0428974,54.7156,15.858374,1.598387144,0.582271531,3.2713041,0.47143444,0.041771966,0.00900352,0.0633,0.027682
10,Japan_Amakusa_Oshima,32.187311,129.968464,high,20.99944444,4.152597772,28.6,15.29,32.35361875,11.47698789,54.197823,13.321069,0.551955762,0.19069164,1.0057727,0.269305,0.100426906,0.176891547,1.053627,0.0334
11,Japan_Amakusa_Katashima,32.150388,129.975279,high,20.99944444,4.152597772,28.6,15.29,32.38292456,11.30632547,52.66957,13.969895,0.59483636,0.176438514,0.9770509,0.32301998,0.087480241,0.022783195,0.179857,0.0508
12,Japan_Kochi_Nishidomari,32.77686,132.73146,high,22.57944444,3.394492972,28.39,18.17,33.60962569,10.67224112,52.59988,17.62,0.338829039,0.166120102,0.78890777,0.12687996,0.058785879,0.02398608,0.149611,0.0324
13,Japan_Kochi_Shirigai,32.7973,132.70921,high,22.57944444,3.394492972,28.39,18.17,32.99068261,10.22315559,53.255096,18.933931,0.359667369,0.218784038,1.0854913,0.10790904,0.059846694,0.019921952,0.12625,0.029133
14,Japan_Kochi_Tatsukushi,32.78664,132.86358,high,22.16694444,3.713323363,28.67,17.27,33.10785847,10.28574527,53.473034,18.438,0.337426016,0.17641858,0.96215534,0.11903803,0.055758088,0.017496593,0.113746,0.033238
